Precio_real,Precio_predicho,Error_absoluto
116000,125001.36,9001.359375
275000,217816.8,57183.203125
195000,266985.78,71985.78125
269000,214588.1,54411.90625
419000,427705.44,8705.4375
195000,139179.39,55820.609375
261000,298367.12,37367.125
153000,165147.0,12147.0
199000,233182.42,34182.421875
316000,255378.39,60621.609375
1216000,893289.44,322710.5625
181000,175095.03,5904.96875
204000,245745.08,41745.078125
114000,136291.56,22291.5625
178000,193160.17,15160.171875
86000,142113.78,56113.78125
976000,538810.25,437189.75
225000,163274.53,61725.46875
125000,140323.34,15323.34375
314000,274133.44,39866.5625
132000,143456.44,11456.4375
113000,153537.64,40537.640625
275000,304935.84,29935.84375
120000,143706.97,23706.96875
132000,133389.94,1389.9375
154000,216879.5,62879.5
395000,281555.06,113444.9375
136000,149351.27,13351.265625
148000,273832.97,125832.96875
450000,273736.3,176263.6875
557000,239047.36,317952.640625
666000,503167.1,162832.90625
601000,231684.28,369315.71875
107000,132566.1,25566.09375
519000,511902.88,7097.125
114000,122653.16,8653.15625
980000,468436.8,511563.1875
163000,166536.94,3536.9375
274000,221113.38,52886.625
133000,140947.95,7947.953125
626000,479271.25,146728.75
186000,219310.02,33310.015625
419000,227982.83,191017.171875
197000,253896.95,56896.953125
236000,223698.2,12301.796875
265000,173363.84,91636.15625
261000,260886.89,113.109375
463000,199004.95,263995.046875
185000,149554.7,35445.296875
968000,651403.4,316596.625
77000,157869.92,80869.921875
439000,288967.53,150032.46875
59000,134280.28,75280.28125
250000,203959.06,46040.9375
861000,786837.1,74162.875
226000,195960.12,30039.875
230000,202131.66,27868.34375
295000,216637.77,78362.234375
595000,712326.25,117326.25
122000,133304.4,11304.40625
164000,163076.0,924.0
360000,248493.22,111506.78125
181000,188823.03,7823.03125
614000,372204.8,241795.1875
822000,627635.25,194364.75
881000,615245.4,265754.625
147000,141335.0,5665.0
129000,148776.61,19776.609375
97000,145356.6,48356.59375
171000,169146.55,1853.453125
578000,599517.25,21517.25
63000,125810.52,62810.5234375
198000,204243.11,6243.109375
803000,472745.7,330254.3125
452000,384732.78,67267.21875
175000,173316.28,1683.71875
86000,131848.22,45848.21875
633000,506294.06,126705.9375
142000,145743.25,3743.25
284000,235355.44,48644.5625
176000,160784.53,15215.46875
346000,213752.72,132247.28125
110000,131906.23,21906.234375
105000,139023.75,34023.75
82000,153915.67,71915.671875
216000,196562.44,19437.5625
189000,206411.52,17411.515625
421000,473924.47,52924.46875
179000,145734.27,33265.734375
587000,386203.3,200796.6875
145000,161049.44,16049.4375
96000,138046.66,42046.65625
120000,157125.78,37125.78125
80000,136116.72,56116.71875
114000,147127.69,33127.6875
68000,134131.56,66131.5625
179000,146389.11,32610.890625
330000,224976.44,105023.5625
465000,355767.9,109232.09375
323000,266331.88,56668.125
191000,182454.62,8545.375
158000,243101.95,85101.953125
281000,248041.38,32958.625
170000,150528.28,19471.71875
451000,270170.34,180829.65625
250000,252127.44,2127.4375
248000,269521.7,21521.6875
200000,171734.31,28265.6875
127000,172521.88,45521.875
194000,155724.75,38275.25
408000,181821.9,226178.09375
151000,154475.77,3475.765625
187000,200388.0,13388.0
276000,194934.67,81065.328125
